[dotenv@17.2.3] injecting env (56) from apps/mercato/.env -- tip: ⚙️  suppress all logs with { quiet: true }
[dotenv@17.2.3] injecting env (0) from apps/mercato/.env -- tip: ⚙️  write to custom object with { processEnv: myObject }
[dotenv@17.2.3] injecting env (0) from apps/mercato/.env -- tip: ⚙️  write to custom object with { processEnv: myObject }
[dotenv@17.2.3] injecting env (0) from apps/mercato/.env -- tip: ⚙️  write to custom object with { processEnv: myObject }

Running 2886 tests using 1 worker

  ✓     1 .ai/qa/tests/admin/TC-ADMIN-011.spec.ts:53:7 › TC-ADMIN-011: User Widget Override And Dashboard Enablement › should enable widgets for current admin user and switch them on in dashboard (7.5s)
  ✓     2 .ai/qa/tests/integration/TC-INT-006.spec.ts:9:7 › TC-INT-006: Embedded Settings Headings on Resource and Team Member Detail › should render embedded settings sections without the old edit-form header rows (3.2s)
  ✓     3 .ai/qa/tests/integration/TC-INT-007.spec.ts:131:7 › TC-INT-007: CLI official module install and eject flows › module add installs and registers a package-backed module in a monorepo app (884ms)
  ✓     4 .ai/qa/tests/integration/TC-INT-007.spec.ts:161:7 › TC-INT-007: CLI official module install and eject flows › module add --eject copies module source and omits package CSS entries (551ms)
  ✓     5 .ai/qa/tests/integration/TC-INT-007.spec.ts:189:7 › TC-INT-007: CLI official module install and eject flows › module enable supports package-backed and ejected flows plus both eject entrypoints (1.2s)
  ✓     6 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/.ai/qa/tests/admin/TC-ADMIN-011.spec.ts:53:7 › TC-ADMIN-011: User Widget Override And Dashboard Enablement › should enable widgets for current admin user and switch them on in dashboard (4.1s)
  ✓     7 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/.ai/qa/tests/integration/TC-INT-006.spec.ts:9:7 › TC-INT-006: Embedded Settings Headings on Resource and Team Member Detail › should render embedded settings sections without the old edit-form header rows (2.9s)
  ✓     8 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/.ai/qa/tests/integration/TC-INT-007.spec.ts:131:7 › TC-INT-007: CLI official module install and eject flows › module add installs and registers a package-backed module in a monorepo app (683ms)
  ✓     9 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/.ai/qa/tests/integration/TC-INT-007.spec.ts:161:7 › TC-INT-007: CLI official module install and eject flows › module add --eject copies module source and omits package CSS entries (561ms)
  ✓    10 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/.ai/qa/tests/integration/TC-INT-007.spec.ts:189:7 › TC-INT-007: CLI official module install and eject flows › module enable supports package-backed and ejected flows plus both eject entrypoints (1.2s)
  ✓    11 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-001.spec.ts:13:3 › TC-UMES-001: Foundation and Menu Injection › should render injected sidebar item and navigate to todos page (3.0s)
  ✓    12 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-001.spec.ts:23:3 › TC-UMES-001: Foundation and Menu Injection › should render injected profile dropdown item and navigate to todo create (3.4s)
  ✓    13 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-002.spec.ts:41:3 › TC-UMES-002: Response Enrichers › TC-UMES-R01: GET single person includes enriched _example fields (512ms)
  ✓    14 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-002.spec.ts:84:3 › TC-UMES-002: Response Enrichers › TC-UMES-R02: GET person list enriches all records via enrichMany (86ms)
  ✓    15 .ai/tmp/auto-continue-pr/pr-1523-20260415-204611/apps/mercato/src/modules/example/__integration__/TC-UMES-002.spec.ts:105:3 › TC-UMES-002: Response Enrichers › TC-UMES-R07: multi-id query returns only requested IDs with enrichment metadata (549ms)
